,year,region,deaths
432,2014,East Ayrshire,25
433,2015,East Ayrshire,13
434,2016,East Ayrshire,27
435,2017,East Ayrshire,18
436,2018,East Ayrshire,24
437,2019,East Ayrshire,31
438,2020,East Ayrshire,23
439,2021,East Ayrshire,30
440,2022,East Ayrshire,28
441,1979,East Dunbartonshire,2
442,1980,East Dunbartonshire,6
443,1981,East Dunbartonshire,8
444,1982,East Dunbartonshire,7
445,1983,East Dunbartonshire,2
446,1984,East Dunbartonshire,4
447,1985,East Dunbartonshire,4
448,1986,East Dunbartonshire,5
449,1987,East Dunbartonshire,3
450,1988,East Dunbartonshire,7
451,1989,East Dunbartonshire,8
452,1990,East Dunbartonshire,6
453,1991,East Dunbartonshire,4
454,1992,East Dunbartonshire,6
455,1993,East Dunbartonshire,7
456,1994,East Dunbartonshire,7
457,1995,East Dunbartonshire,13
458,1996,East Dunbartonshire,19
459,1997,East Dunbartonshire,10
460,1998,East Dunbartonshire,16
461,1999,East Dunbartonshire,9
462,2000,East Dunbartonshire,11
463,2001,East Dunbartonshire,18
464,2002,East Dunbartonshire,18
465,2003,East Dunbartonshire,17
466,2004,East Dunbartonshire,18
467,2005,East Dunbartonshire,20
468,2006,East Dunbartonshire,22
469,2007,East Dunbartonshire,19
470,2008,East Dunbartonshire,20
471,2009,East Dunbartonshire,20
472,2010,East Dunbartonshire,14
473,2011,East Dunbartonshire,26
474,2012,East Dunbartonshire,10
475,2013,East Dunbartonshire,11
476,2014,East Dunbartonshire,10
477,2015,East Dunbartonshire,14
478,2016,East Dunbartonshire,12
479,2017,East Dunbartonshire,21
480,2018,East Dunbartonshire,12
481,2019,East Dunbartonshire,16
482,2020,East Dunbartonshire,11
483,2021,East Dunbartonshire,15
484,2022,East Dunbartonshire,24
485,1979,East Lothian,2
486,1980,East Lothian,3
487,1981,East Lothian,4
488,1982,East Lothian,2
489,1983,East Lothian,5
490,1984,East Lothian,3
491,1985,East Lothian,5
492,1986,East Lothian,2
493,1987,East Lothian,4
494,1988,East Lothian,2
495,1989,East Lothian,8
496,1990,East Lothian,0
497,1991,East Lothian,9
498,1992,East Lothian,4
499,1993,East Lothian,3
500,1994,East Lothian,8
501,1995,East Lothian,5
502,1996,East Lothian,6
503,1997,East Lothian,6
504,1998,East Lothian,10
505,1999,East Lothian,11
506,2000,East Lothian,13
507,2001,East Lothian,12
508,2002,East Lothian,19
509,2003,East Lothian,23
510,2004,East Lothian,13
511,2005,East Lothian,18
512,2006,East Lothian,14
513,2007,East Lothian,14
514,2008,East Lothian,18
515,2009,East Lothian,17
516,2010,East Lothian,10
517,2011,East Lothian,11
518,2012,East Lothian,10
519,2013,East Lothian,13
520,2014,East Lothian,21
521,2015,East Lothian,13
522,2016,East Lothian,13
523,2017,East Lothian,16
524,2018,East Lothian,16
525,2019,East Lothian,17
526,2020,East Lothian,19
527,2021,East Lothian,12
528,2022,East Lothian,19
529,1979,East Renfrewshire,3
530,1980,East Renfrewshire,2
531,1981,East Renfrewshire,2
532,1982,East Renfrewshire,5
533,1983,East Renfrewshire,4
534,1984,East Renfrewshire,6
535,1985,East Renfrewshire,5
536,1986,East Renfrewshire,7
537,1987,East Renfrewshire,4
538,1988,East Renfrewshire,1
539,1989,East Renfrewshire,4
540,1990,East Renfrewshire,6
541,1991,East Renfrewshire,3
542,1992,East Renfrewshire,4
543,1993,East Renfrewshire,5
544,1994,East Renfrewshire,5
545,1995,East Renfrewshire,6
546,1996,East Renfrewshire,9
547,1997,East Renfrewshire,11
548,1998,East Renfrewshire,13
549,1999,East Renfrewshire,6
550,2000,East Renfrewshire,19
551,2001,East Renfrewshire,15
552,2002,East Renfrewshire,16
553,2003,East Renfrewshire,21
554,2004,East Renfrewshire,15
555,2005,East Renfrewshire,19
556,2006,East Renfrewshire,21
557,2007,East Renfrewshire,15
558,2008,East Renfrewshire,13
559,2009,East Renfrewshire,12
560,2010,East Renfrewshire,8
561,2011,East Renfrewshire,8
562,2012,East Renfrewshire,12
563,2013,East Renfrewshire,14
564,2014,East Renfrewshire,14
565,2015,East Renfrewshire,7
566,2016,East Renfrewshire,14
567,2017,East Renfrewshire,9
568,2018,East Renfrewshire,10
569,2019,East Renfrewshire,13
570,2020,East Renfrewshire,13
571,2021,East Renfrewshire,16
572,2022,East Renfrewshire,9
573,1979,Falkirk,5
574,1980,Falkirk,4
575,1981,Falkirk,6
576,1982,Falkirk,8
577,1983,Falkirk,4
578,1984,Falkirk,5
579,1985,Falkirk,5
580,1986,Falkirk,7
581,1987,Falkirk,5
582,1988,Falkirk,5
583,1989,Falkirk,6
584,1990,Falkirk,9
585,1991,Falkirk,7
586,1992,Falkirk,11
587,1993,Falkirk,15
588,1994,Falkirk,11
589,1995,Falkirk,5
590,1996,Falkirk,8
591,1997,Falkirk,13
592,1998,Falkirk,12
593,1999,Falkirk,17
594,2000,Falkirk,28
595,2001,Falkirk,27
596,2002,Falkirk,27
597,2003,Falkirk,27
598,2004,Falkirk,27
599,2005,Falkirk,25
600,2006,Falkirk,22
601,2007,Falkirk,29
602,2008,Falkirk,27
603,2009,Falkirk,33
604,2010,Falkirk,33
605,2011,Falkirk,32
606,2012,Falkirk,16
607,2013,Falkirk,27
608,2014,Falkirk,27
609,2015,Falkirk,25
610,2016,Falkirk,31
611,2017,Falkirk,21
612,2018,Falkirk,36
613,2019,Falkirk,22
614,2020,Falkirk,37
615,2021,Falkirk,35
616,2022,Falkirk,35
617,1979,Fife,14
618,1980,Fife,11
619,1981,Fife,20
620,1982,Fife,9
621,1983,Fife,12
622,1984,Fife,16
623,1985,Fife,16
624,1986,Fife,8
625,1987,Fife,14
626,1988,Fife,12
627,1989,Fife,16
628,1990,Fife,21
629,1991,Fife,20
630,1992,Fife,17
631,1993,Fife,28
632,1994,Fife,22
633,1995,Fife,32
634,1996,Fife,34
635,1997,Fife,22
636,1998,Fife,36
637,1999,Fife,47
638,2000,Fife,66
639,2001,Fife,50
640,2002,Fife,69
641,2003,Fife,53
642,2004,Fife,56
643,2005,Fife,65
644,2006,Fife,69
645,2007,Fife,74
646,2008,Fife,69
647,2009,Fife,75
648,2010,Fife,68
649,2011,Fife,83
650,2012,Fife,51
651,2013,Fife,57
652,2014,Fife,48
653,2015,Fife,59
654,2016,Fife,67
655,2017,Fife,91
656,2018,Fife,59
657,2019,Fife,70
658,2020,Fife,69
659,2021,Fife,73
660,2022,Fife,80
661,1979,Glasgow City,139
662,1980,Glasgow City,137
663,1981,Glasgow City,97
664,1982,Glasgow City,112
665,1983,Glasgow City,95
666,1984,Glasgow City,109
667,1985,Glasgow City,104
668,1986,Glasgow City,132
669,1987,Glasgow City,114
670,1988,Glasgow City,102
671,1989,Glasgow City,138
672,1990,Glasgow City,111
673,1991,Glasgow City,66
674,1992,Glasgow City,68
675,1993,Glasgow City,84
676,1994,Glasgow City,116
677,1995,Glasgow City,159
678,1996,Glasgow City,189
